title,price,writer,publisher,time,page_weight_cm,isbn13,isbn10
디스 이즈 브랜딩,"17,000원",김지헌,턴어라운드,2019년 03월 04일,328쪽 | 560g | 148*218*20mm,9791196372149,1196372144
최강소비권력 Z세대가 온다,"15,800원",제프 프롬,홍익출판사,2018년 12월 18일,216쪽 | 372g | 140*200*20mm,9788970656656,8970656650
"생초보, 인스타그램 하루 만에 끝장내기","15,000원",김서현,라온북,2018년 11월 15일,221쪽 | 340g | 140*210*20mm,9791189089474,1189089475
매출 100배 올리는 유통 마케팅 비법,"17,000원",유노연,중앙경제평론사,2018년 09월 27일,374쪽 | 560g | 153*225*20mm,9788960542082,8960542083
인구 전쟁 2045,"16,000원",KAIST 문술미래전략대학원/미래전략연구센터,크리에이터출판사,2018년 03월 12일,335쪽 | 492g | 152*225*18mm,9791196328207,119632820X
(문고판) 4차 산업 혁명의 충격,"8,900원",클라우스 슈밥,흐름출판,2018년 02월 15일,322쪽 | 388g | 128*188*20mm,9788965962571,8965962579
처음부터 다시 배우는 서비스 디자인 씽킹 ,"23,000원",배성환,한빛미디어,2017년 06월 01일,372쪽 | 535g | 153*223*16mm,9788968487880,896848788X
리더라면 이렇게 해야 한다,"5,500원",김재규,엔타임,2017년 01월 12일,96쪽 | 140*210*15mm,9788994484280,8994484280
질문으로 시작하는 초대,"7,000원",이하나,씽크스마트,2016년 11월 15일,116쪽 | 128*188*20mm,9788965291527,8965291526
팔지 마라 사게 하라,"18,000원",장문정,쌤앤파커스,2013년 05월 09일,372쪽 | 545g | 153*224*30mm,9788965701354,896570135X
세상에서 가장 쉬운 통계학 입문,"12,800원",고지마 히로유키,지상사,2009년 12월 17일,238쪽 | 452g | 153*224*20mm,9788990994004,8990994004
신체 설계자,"18,000원",애덤 피오리,미지북스,2019년 04월 01일,444쪽 | 669g | 152*225*27mm,9788994142944,8994142940
이렇게 쉬운 통계학,"16,000원",혼마루 료,한빛미디어,2019년 03월 10일,276쪽 | 497g | 153*223*17mm,9791162241509,1162241500
네트워크 마케팅 성공 바이블,"16,000원",김유신,미래지식,2019년 01월 25일,296쪽 | 394g | 145*218*20mm,9788965844211,8965844215
2019 트렌드 노트,"15,000원",김정구,북스톤,2018년 10월 27일,284쪽 | 482g | 152*215*20mm,9791187289456,1187289450
유튜브 컬처,"15,000원",케빈 알로카,스타리치북스,2018년 09월 07일,420쪽 | 611g | 152*224*20mm,9791185982533,1185982531
SNS 마케팅 한 방에 따라잡기,"12,800원",정진수,비즈니스맵,2018년 03월 20일,195쪽 | 266g | 128*188*12mm,9791188096589,1188096583
"(문고판) 일의 미래, 무엇이 바뀌고 무엇이 오는가","8,300원",선대인,인플루엔셜,2018년 02월 12일,271쪽 | 276g | 128*188*16mm,9791186560686,1186560681
